wl,U,B,G,R
300,0.000101578057436155,0.000623878403086965,0.000676532728711899,0.000771600056358085
301,0.000135437409914874,0.00060240321022548,0.000632123848599886,0.000697343029846068
302,0.000133069831440019,0.00059682172593298,0.000648167800110023,0.00075926156892736
303,0.000130702252965164,0.00059124024164048,0.00066421175162016,0.000821180108008652
304,0.000128334674490309,0.00058565875734798,0.000680255703130297,0.000883098647089944
305,0.000125967096015453,0.000580077273055479,0.000696299654640434,0.000945017186171236
306,0.000123599517540598,0.000574495788762979,0.000712343606150571,0.00100693572525253
307,0.000162161883012674,0.000511865867406326,0.000647011153239517,0.000885769590934793
308,0.000200724248484749,0.000449235946049673,0.000581678700328463,0.000764603456617057
309,0.000239286613956825,0.00038660602469302,0.000516346247417409,0.000643437322299321
310,0.000247272490501827,0.000390295634713561,0.000507409541826151,0.000646833018582472
311,0.000255258367046828,0.000393985244734101,0.000498472836234894,0.000650228714865623
312,0.00026324424359183,0.000397674854754642,0.000489536130643636,0.000653624411148774
313,0.000271230120136832,0.000401364464775183,0.000480599425052378,0.000657020107431925
314,0.000279215996681834,0.000405054074795723,0.00047166271946112,0.000660415803715076
315,0.000287201873226835,0.000408743684816264,0.000462726013869862,0.000663811499998227
316,0.000264995875462898,0.000392493183645357,0.000451496908736431,0.000631734969603009
317,0.00024278987769896,0.000376242682474451,0.000440267803603,0.00059965843920779
318,0.000220583879935022,0.000359992181303545,0.000429038698469568,0.000567581908812572
319,0.000198377882171085,0.000343741680132639,0.000417809593336137,0.000535505378417354
320,0.000176171884407147,0.000327491178961733,0.000406580488202705,0.000503428848022136
321,0.00015396588664321,0.000311240677790826,0.000395351383069274,0.000471352317626918
322,0.000262148248001711,0.000315747492104624,0.00039592632437479,0.000513543372397765
323,0.000370330609360212,0.000320254306418422,0.000396501265680307,0.000555734427168612
324,0.000478512970718712,0.00032476112073222,0.000397076206985823,0.00059792548193946
325,0.000557698544260364,0.000315237875483898,0.000388049540025164,0.000564734471858747
326,0.000636884117802015,0.000305714630235576,0.000379022873064504,0.000531543461778033
327,0.000716069691343666,0.000296191384987254,0.000369996206103845,0.00049835245169732
328,0.000795255264885317,0.000286668139738933,0.000360969539143186,0.000465161441616607
329,0.000874440838426969,0.000277144894490611,0.000351942872182527,0.000431970431535894
330,0.00095362641196862,0.000267621649242289,0.000342916205221867,0.000398779421455181
331,0.00103281198551027,0.000258098403993967,0.000333889538261208,0.000365588411374468
332,0.00134397125087191,0.000287561637327338,0.000362542783614697,0.000443342273982726
333,0.00165513051623354,0.000317024870660709,0.000391196028968185,0.000521096136590984
334,0.00196628978159518,0.000346488103994081,0.000419849274321674,0.000598849999199243
335,0.00240194685813094,0.000339091276620841,0.000398489805745063,0.000561317575581958
336,0.00283760393466671,0.000331694449247602,0.000377130337168452,0.000523785151964674
337,0.00327326101120248,0.000324297621874362,0.000355770868591841,0.000486252728347389
338,0.00370891808773824,0.000316900794501123,0.000334411400015229,0.000448720304730104
339,0.00414457516427401,0.000309503967127883,0.000313051931438618,0.00041118788111282
340,0.00578644073179784,0.000305862755525051,0.000315733546436471,0.000418195834288979
341,0.00742830629932167,0.00030222154392222,0.000318415161434323,0.000425203787465138
342,0.0090701718668455,0.000298580332319388,0.000321096776432176,0.000432211740641297
343,0.0107120374343693,0.000294939120716556,0.000323778391430029,0.000439219693817456
344,0.0123539030018932,0.000291297909113725,0.000326460006427881,0.000446227646993614
345,0.013995768569417,0.000287656697510893,0.000329141621425734,0.000453235600169773
346,0.0156376341369408,0.000284015485908061,0.000331823236423587,0.000460243553345932
347,0.0177827512418454,0.000283388828670836,0.000328167784305154,0.000430467681973877
348,0.0199278683467499,0.00028276217143361,0.000324512332186721,0.000400691810601821
349,0.0220729854516545,0.000282135514196384,0.000320856880068288,0.000370915939229765
350,0.024218102556559,0.000281508856959158,0.000317201427949855,0.00034114006785771
351,0.024932874217189,0.000280602059849742,0.000310715122119557,0.000350027543841249
352,0.0256476458778189,0.000279695262740326,0.000304228816289259,0.000358915019824788
353,0.0263624175384489,0.00027878846563091,0.000297742510458961,0.000367802495808328
354,0.0270771891990788,0.000277881668521493,0.000291256204628662,0.000376689971791867
355,0.0270959462527904,0.000270096414109297,0.000283292948845092,0.000367714112729896
356,0.027114703306502,0.0002623111596971,0.000275329693061522,0.000358738253667925
357,0.0271334603602136,0.000254525905284903,0.000267366437277951,0.000349762394605954
358,0.0271522174139252,0.000246740650872706,0.000259403181494381,0.000340786535543984
359,0.0271709744676368,0.00023895539646051,0.000251439925710811,0.000331810676482013
360,0.0271897315213484,0.000231170142048313,0.00024347666992724,0.000322834817420042
361,0.0274233844540075,0.000221298523663379,0.000239386506931228,0.000329145116867869
362,0.0276570373866666,0.000211426905278444,0.000235296343935215,0.000335455416315695
363,0.0278906903193257,0.000201555286893509,0.000231206180939203,0.000341765715763522
364,0.0281243432519848,0.000191683668508575,0.000227116017943191,0.000348076015211349
365,0.0283579961846439,0.00018181205012364,0.000223025854947178,0.000354386314659175
366,0.0280838383655481,0.000180766824876353,0.000224632872618636,0.000330178601532287
367,0.0278096805464523,0.000179721599629066,0.000226239890290094,0.000305970888405398
368,0.0275355227273565,0.000178676374381779,0.000227846907961553,0.00028176317527851
369,0.0272613649082607,0.000177631149134492,0.000229453925633011,0.000257555462151621
370,0.026987207089165,0.000176585923887205,0.000231060943304469,0.000233347749024733
371,0.0266247562344723,0.000172088581638154,0.000219306756841215,0.000238205390460113
372,0.0262623053797797,0.000167591239389103,0.000207552570377961,0.000243063031895493
373,0.025899854525087,0.000163093897140052,0.000195798383914707,0.000247920673330872
374,0.0255374036703944,0.000158596554891002,0.000184044197451452,0.000252778314766252
375,0.0251749528157017,0.000154099212641951,0.000172290010988198,0.000257635956201632
376,0.0234385225524156,0.00015190091685905,0.000173353128668426,0.000246434034748524
377,0.0217020922891295,0.00014970262107615,0.000174416246348654,0.000235232113295417
378,0.0199656620258433,0.000147504325293249,0.000175479364028882,0.000224030191842309
379,0.0182292317625572,0.000145306029510349,0.00017654248170911,0.000212828270389201
380,0.0152760872012437,0.000142676348631356,0.000171077338484955,0.000212716990435431
381,0.0123229426399302,0.000140046667752364,0.0001656121952608,0.000212605710481661
382,0.00936979807861674,0.000137416986873371,0.000160147052036645,0.000212494430527891
383,0.00641665351730325,0.000134787305994378,0.00015468190881249,0.000212383150574121
384,0.00346350895598976,0.000132157625115386,0.000149216765588335,0.00021227187062035
385,0.000510364394676276,0.000129527944236393,0.00014375162236418,0.00021216059066658
386,0.000408291515741021,0.000123741914538849,0.000140769913997423,0.000206715707910661
387,0.000306218636805766,0.000117955884841304,0.000137788205630665,0.000201270825154743
388,0.000204145757870511,0.000112169855143759,0.000134806497263908,0.000195825942398824
389,0.000102072878935255,0.000106383825446214,0.000131824788897151,0.000190381059642905
390,0,0.00010059779574867,0.000128843080530393,0.000184936176886986
391,0,9.83976919585693E-05,0.000125150098999704,0.000172901324015427
392,0,9.61975881684689E-05,0.000121457117469016,0.000160866471143867
393,0,9.39974843783684E-05,0.000117764135938327,0.000148831618272308
394,0,9.1797380588268E-05,0.000114071154407638,0.000136796765400748
395,0,8.95972767981676E-05,0.00011037817287695,0.000124761912529189
396,0,8.91327862715384E-05,0.000109946489170681,0.000125656848987101
397,0,8.86682957449092E-05,0.000109514805464412,0.000126551785445014
398,0,8.82038052182799E-05,0.000109083121758143,0.000127446721902927
399,0,8.77393146916507E-05,0.000108651438051874,0.000128341658360839
400,0,8.72748241650215E-05,0.000108219754345605,0.000129236594818752
401,0,8.74676935626013E-05,0.000105008280454984,0.000122314206407139
402,0,8.76605629601811E-05,0.000101796806564363,0.000115391817995527
403,0,8.78534323577609E-05,9.8585332673742E-05,0.000108469429583915
404,0,8.80463017553407E-05,9.5373858783121E-05,0.000101547041172302
405,0,8.82391711529204E-05,9.21623848925001E-05,9.46246527606896E-05
406,3.49414780568502E-06,9.49592053061818E-05,9.36959518154983E-05,0.000100658411808659
407,6.98829561137004E-06,0.000101679239459443,9.52295187384964E-05,0.000106692170856629
408,1.04824434170551E-05,0.000108399273612705,9.67630856614946E-05,0.000112725929904598
409,1.39765912227401E-05,0.000115119307765966,9.82966525844928E-05,0.000118759688952568
410,1.74707390284251E-05,0.000121839341919227,9.9830219507491E-05,0.000124793448000537
411,2.01970157597295E-05,0.000182498074250069,0.000105563059985055,0.000133253675839194
412,2.2923292491034E-05,0.000243156806580912,0.000111295900462619,0.000141713903677851
413,2.56495692223384E-05,0.000303815538911754,0.000117028740940183,0.000150174131516509
414,2.83758459536428E-05,0.000364474271242596,0.000122761581417747,0.000158634359355166
415,2.62089076521998E-05,0.000563898465947458,0.000152446369398869,0.000195979320426403
416,2.40419693507567E-05,0.00076332266065232,0.000182131157379991,0.000233324281497641
417,2.18750310493137E-05,0.000962746855357182,0.000211815945361113,0.000270669242568878
418,1.97080927478706E-05,0.00116217105006204,0.000241500733342235,0.000308014203640116
419,1.75411544464276E-05,0.00136159524476691,0.000271185521323358,0.000345359164711353
420,1.53742161449845E-05,0.00156101943947177,0.00030087030930448,0.000382704125782591
421,1.22993729159876E-05,0.00203967966614699,0.000371168399417444,0.000459908173316122
422,9.22452968699072E-06,0.00251833989282221,0.000441466489530408,0.000537112220849653
423,6.14968645799381E-06,0.00299700011949744,0.000511764579643372,0.000614316268383184
424,3.0748432289969E-06,0.00347566034617266,0.000582062669756336,0.000691520315916714
425,0,0.00395432057284789,0.000652360759869299,0.000768724363450245
426,0,0.00440940599401524,0.000723748784438884,0.000815015761677738
427,0,0.00486449141518258,0.000795136809008468,0.000861307159905231
428,0,0.00531957683634993,0.000866524833578052,0.000907598558132723
429,0,0.00577466225751728,0.000937912858147636,0.000953889956360216
430,3.44313683302512E-06,0.00659682778674664,0.00107979481003561,0.00104405808342469
431,6.88627366605023E-06,0.00741899331597599,0.00122167676192359,0.00113422621048917
432,1.03294104990754E-05,0.00824115884520534,0.00136355871381157,0.00122439433755365
433,1.37725473321005E-05,0.00906332437443469,0.00150544066569955,0.00131456246461813
434,1.72156841651256E-05,0.00988548990366405,0.00164732261758752,0.0014047305916826
435,1.4346403470938E-05,0.0101693523007826,0.00170508166720449,0.00141409806724935
436,1.14771227767504E-05,0.0104532146979012,0.00176284071682146,0.0014234655428161
437,8.60784208256279E-06,0.0107370770950197,0.00182059976643843,0.00143283301838285
438,5.7385613883752E-06,0.0110209394921383,0.0018783588160554,0.0014422004939496
439,2.8692806941876E-06,0.0113048018892568,0.00193611786567237,0.00145156796951635
440,0,0.0115886642863754,0.00199387691528934,0.0014609354450831
441,2.30978449633272E-07,0.0117468420653635,0.00204308955801427,0.00144507048196223
442,4.61956899266543E-07,0.0119050198443516,0.00209230220073921,0.00142920551884136
443,6.92935348899815E-07,0.0120631976233397,0.00214151484346414,0.00141334055572049
444,9.23913798533087E-07,0.0122213754023279,0.00219072748618907,0.00139747559259962
445,1.15489224816636E-06,0.012379553181316,0.00223994012891401,0.00138161062947875
446,2.25547566367964E-06,0.012448149460845,0.00227016726414788,0.00135173938010718
447,3.35605907919291E-06,0.012516745740374,0.00230039439938176,0.00132186813073561
448,4.45664249470619E-06,0.012585342019903,0.00233062153461563,0.00129199688136404
449,5.55722591021947E-06,0.012653938299432,0.00236084866984951,0.00126212563199247
450,6.65780932573275E-06,0.012722534578961,0.00239107580508338,0.0012322543826209
451,4.99335699429956E-06,0.012713790385528,0.00244759760337324,0.00120352782083921
452,3.32890466286637E-06,0.0127050461920949,0.0025041194016631,0.00117480125905753
453,1.66445233143319E-06,0.0126963019986618,0.00256064119995296,0.00114607469727584
454,0,0.0126875578052288,0.00261716299824282,0.00111734813549415
455,7.55340224264541E-07,0.0126346467931413,0.0026734889707472,0.00110360185229637
456,1.51068044852908E-06,0.0125817357810539,0.00272981494325159,0.00108985556909859
457,2.26602067279362E-06,0.0125288247689664,0.00278614091575597,0.00107610928590081
458,3.02136089705817E-06,0.012475913756879,0.00284246688826036,0.00106236300270303
459,3.77670112132271E-06,0.0124230027447915,0.00289879286076474,0.00104861671950525
460,3.02136089705816E-06,0.0123748583059329,0.00299305743233298,0.00106170135321972
461,2.26602067279362E-06,0.0123267138670742,0.00308732200390123,0.0010747859869342
462,1.51068044852908E-06,0.0122785694282155,0.00318158657546947,0.00108787062064867
463,7.55340224264541E-07,0.0122304249893568,0.00327585114703771,0.00110095525436314
464,0,0.0121822805504981,0.00337011571860595,0.00111403988807761
465,0,0.0121394713379568,0.00348694169952543,0.00113008691932062
466,0,0.0120966621254155,0.0036037676804449,0.00114613395056362
467,0,0.0120538529128742,0.00372059366136437,0.00116218098180663
468,0,0.0120110437003329,0.00383741964228385,0.00117822801304963
469,0,0.0119682344877916,0.00395424562320332,0.00119427504429263
470,0,0.011822972630808,0.00404178164184204,0.00121276163767451
471,0,0.0116777107738245,0.00412931766048076,0.0012312482310564
472,0,0.011532448916841,0.00421685367911948,0.00124973482443828
473,0,0.0113871870598575,0.0043043896977582,0.00126822141782016
474,0,0.0112419252028739,0.00439192571639692,0.00128670801120204
475,2.8817460621042E-06,0.0110906710167709,0.0044292466465903,0.00128813861984357
476,5.76349212420839E-06,0.0109394168306678,0.00446656757678368,0.0012895692284851
477,8.64523818631259E-06,0.0107881626445648,0.00450388850697706,0.00129099983712664
478,1.15269842484168E-05,0.0106369084584618,0.00454120943717043,0.00129243044576817
479,1.4408730310521E-05,0.0104856542723587,0.00457853036736381,0.0012938610544097
480,1.72904763726252E-05,0.0103344000862557,0.00461585129755719,0.00129529166305123
481,1.95983839387642E-05,0.0101794007907093,0.00464892309103081,0.00128732362371204
482,2.19062915049033E-05,0.010024401495163,0.00468199488450443,0.00127935558437286
483,2.42141990710424E-05,0.00986940219961664,0.00471506667797805,0.00127138754503367
484,2.65221066371815E-05,0.00971440290407028,0.00474813847145167,0.00126341950569448
485,2.88300142033205E-05,0.00955940360852393,0.00478121026492529,0.00125545146635529
486,2.48727002830381E-05,0.00937224685954794,0.00481991244104784,0.00124108486847294
487,2.09153863627557E-05,0.00918509011057196,0.00485861461717039,0.0012267182705906
488,1.69580724424733E-05,0.00899793336159598,0.00489731679329295,0.00121235167270825
489,1.30007585221909E-05,0.00881077661261999,0.0049360189694155,0.0011979850748259
490,9.04344460190855E-06,0.00862361986364401,0.00497472114553806,0.00118361847694356
491,1.09978337910753E-05,0.00840165077330027,0.00507498265202855,0.00118296565178356
492,1.2952222980242E-05,0.00817968168295653,0.00517524415851904,0.00118231282662357
493,1.49066121694087E-05,0.00795771259261278,0.00527550566500954,0.00118166000146357
494,1.68610013585754E-05,0.00773574350226904,0.00537576717150003,0.00118100717630358
495,1.52377247770159E-05,0.00758146640513768,0.00548907275495544,0.00119242169681868
496,1.36144481954563E-05,0.00742718930800631,0.00560237833841086,0.00120383621733379
497,1.19911716138968E-05,0.00727291221087495,0.00571568392186627,0.0012152507378489
498,1.03678950323373E-05,0.00711863511374358,0.00582898950532169,0.00122666525836401
499,8.74461845077778E-06,0.00696435801661222,0.0059422950887771,0.00123807977887912
500,7.12134186921826E-06,0.00681008091948085,0.00605560067223251,0.00124949429939423
501,5.6970734953746E-06,0.00664504936571878,0.00623536230990514,0.00128610362753642
502,4.27280512153095E-06,0.0064800178119567,0.00641512394757777,0.00132271295567862
